Histogram (GPU):
0.625000 58448506 
1.875000 16747998 
3.125000 4797270 
4.375000 1374695 
5.625000 393565 
6.875000 112550 
8.125000 32285 
9.375000 9297 
10.625000 2767 
11.875000 760 
13.125000 207 
14.375000 75 
15.625000 14 
16.875000 9 
18.125000 2 
19.375000 0 
20.625000 0 
21.875000 0 
23.125000 0 
24.375000 0 
25.625000 0 
26.875000 0 
28.125000 0 
29.375000 0 
30.625000 0 
31.875000 0 
33.125000 0 
34.375000 0 
35.625000 0 
36.875000 0 
38.125000 0 
39.375000 0 
40.625000 0 
41.875000 0 
43.125000 0 
44.375000 0 
45.625000 0 
46.875000 0 
48.125000 0 
49.375000 0 
